XPTO2
ID(INT);NOME(STRING);
 0;nome0;
 1;nome1;
 2;nome2;
 3;nome3;
 4;nome4;
 5;nome5;
 6;nome6;
 7;nome7;
 8;nome8;
 9;nome9;
 10;nome10;
 11;nome11;
 12;nome12;
 13;nome13;
 14;nome14;
 15;nome15;
 16;nome16;
 17;nome17;
 18;nome18;
 19;nome19;
 20;nome20;
 21;nome21;
 22;nome22;
 23;nome23;
 24;nome24;
 25;nome25;
 26;nome26;
 27;nome27;
 28;nome28;
 29;nome29;
 30;nome30;
 31;nome31;
 32;nome32;
 33;nome33;
 34;nome34;
 35;nome35;
 36;nome36;
 37;nome37;
 38;nome38;
 39;nome39;
 40;nome40;
 41;nome41;
 42;nome42;
 43;nome43;
 44;nome44;
 45;nome45;
 46;nome46;
 47;nome47;
 48;nome48;
 49;nome49;
 50;nome50;
 51;nome51;
 52;nome52;
 53;nome53;
 54;nome54;
 55;nome55;
 56;nome56;
 57;nome57;
 58;nome58;
 59;nome59;
 60;nome60;
 61;nome61;
 62;nome62;
 63;nome63;
 64;nome64;
 65;nome65;
 66;nome66;
 67;nome67;
 68;nome68;
 69;nome69;
 70;nome70;
 71;nome71;
 72;nome72;
 73;nome73;
 74;nome74;
 75;nome75;
 76;nome76;
 77;nome77;
 78;nome78;
 79;nome79;
 80;nome80;
 81;nome81;
 82;nome82;
 83;nome83;
 84;nome84;
 85;nome85;
 86;nome86;
 87;nome87;
 88;nome88;
 89;nome89;
 90;nome90;
 91;nome91;
 92;nome92;
 93;nome93;
 94;nome94;
 95;nome95;
 96;nome96;
 97;nome97;
 98;nome98;
 99;nome99;
 
XPTO
ID(INT);NOME(STRING);E-MAIL(STRING);TELEMOVEL(STRING);
 0;xpto0;xpto0@outlook.com;135-91;
 1;xpto1;xpto1@outlook.com;88-122;
 2;xpto2;xpto2@outlook.com;119-130;
 3;xpto3;xpto3@outlook.com;118-115;
 4;xpto4;xpto4@outlook.com;72-146;
 5;xpto5;xpto5@outlook.com;117-99;
 6;xpto6;xpto6@outlook.com;111-101;
 7;xpto7;xpto7@outlook.com;137-113;
 8;xpto8;xpto8@outlook.com;74-116;
 9;xpto9;xpto9@outlook.com;133-130;
 10;xpto10;xpto10@outlook.com;110-121;
 11;xpto11;xpto11@outlook.com;102-114;
 12;xpto12;xpto12@outlook.com;110-140;
 13;xpto13;xpto13@outlook.com;81-99;
 14;xpto14;xpto14@outlook.com;149-73;
 15;xpto15;xpto15@outlook.com;61-144;
 16;xpto16;xpto16@outlook.com;74-75;
 17;xpto17;xpto17@outlook.com;65-101;
 18;xpto18;xpto18@outlook.com;89-63;
 19;xpto19;xpto19@outlook.com;147-117;
 20;xpto20;xpto20@outlook.com;126-69;
 21;xpto21;xpto21@outlook.com;83-62;
 22;xpto22;xpto22@outlook.com;68-149;
 23;xpto23;xpto23@outlook.com;85-142;
 24;xpto24;xpto24@outlook.com;50-124;
 25;xpto25;xpto25@outlook.com;121-145;
 26;xpto26;xpto26@outlook.com;83-89;
 27;xpto27;xpto27@outlook.com;82-89;
 28;xpto28;xpto28@outlook.com;95-87;
 29;xpto29;xpto29@outlook.com;121-107;
 30;xpto30;xpto30@outlook.com;55-145;
 31;xpto31;xpto31@outlook.com;74-121;
 32;xpto32;xpto32@outlook.com;58-136;
 33;xpto33;xpto33@outlook.com;104-101;
 34;xpto34;xpto34@outlook.com;74-124;
 35;xpto35;xpto35@outlook.com;120-125;
 36;xpto36;xpto36@outlook.com;113-83;
 37;xpto37;xpto37@outlook.com;149-79;
 38;xpto38;xpto38@outlook.com;144-108;
 39;xpto39;xpto39@outlook.com;63-102;
 40;xpto40;xpto40@outlook.com;149-85;
